Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71313631,0,"Thursday, November 12, 2009 14:45:15 UTC",38.8050,-122.8012,1.1,1.50,14,"Northern California"
nc,71313621,0,"Thursday, November 12, 2009 13:53:02 UTC",38.8320,-122.7768,1.4,2.40,23,"Northern California"
ak,10019977,1,"Thursday, November 12, 2009 13:16:48 UTC",59.9649,-152.0811,2.2,56.60,18,"Southern Alaska"
hv,00035855,0,"Thursday, November 12, 2009 13:12:17 UTC",19.4028,-155.2812,1.8,1.60,00,"Island of Hawaii, Hawaii"
nn,00297668,1,"Thursday, November 12, 2009 13:11:05 UTC",36.8770,-115.9820,1.2,0.00,28,"Nevada"
nn,00297667,1,"Thursday, November 12, 2009 12:56:20 UTC",37.2910,-114.8080,1.2,0.00,12,"Nevada"
nc,71313596,0,"Thursday, November 12, 2009 12:56:10 UTC",38.7682,-122.7337,1.7,0.50,18,"Northern California"
us,2009nxax,6,"Thursday, November 12, 2009 12:53:06 UTC",-6.1214,104.1336,5.0,56.80,34,"Sunda Strait, Indonesia"
us,2009nxaw,6,"Thursday, November 12, 2009 12:46:42 UTC",-15.1410,-173.2897,4.7,35.10,37,"Tonga"
ci,10496005,1,"Thursday, November 12, 2009 12:42:45 UTC",33.9916,-116.8248,1.1,0.20,17,"Southern California"
ci,10495989,1,"Thursday, November 12, 2009 12:33:17 UTC",33.7366,-116.7236,1.6,14.10,63,"Southern California"
us,2009nxau,6,"Thursday, November 12, 2009 12:18:53 UTC",1.6794,125.0813,4.7,135.30,13,"Molucca Sea"
nc,71313576,0,"Thursday, November 12, 2009 12:13:21 UTC",37.4475,-118.8245,1.7,8.40,20,"Central California"
nc,71313566,0,"Thursday, November 12, 2009 11:43:47 UTC",35.5940,-120.8832,1.0,5.70,16,"Central California"
ci,10495957,1,"Thursday, November 12, 2009 11:01:25 UTC",34.3935,-116.4518,1.9,7.20,73,"Southern California"
us,2009nxas,6,"Thursday, November 12, 2009 10:53:05 UTC",9.3785,125.6861,4.6,42.70,20,"Mindanao, Philippines"
ak,10019973,1,"Thursday, November 12, 2009 09:52:58 UTC",60.6085,-150.2980,1.9,41.90,09,"Kenai Peninsula, Alaska"
ci,10495941,1,"Thursday, November 12, 2009 08:40:12 UTC",33.9926,-117.1618,1.4,13.20,55,"Greater Los Angeles area, California"
ci,10495925,1,"Thursday, November 12, 2009 08:24:27 UTC",33.6731,-118.2678,2.0,17.00,22,"San Pedro Channel, California"
ci,10495909,1,"Thursday, November 12, 2009 07:55:14 UTC",33.6048,-116.2368,1.4,21.20,31,"Southern California"
ci,10495901,1,"Thursday, November 12, 2009 07:41:04 UTC",33.8381,-116.8466,3.0,14.50,127,"Southern California"
ci,10495893,1,"Thursday, November 12, 2009 07:00:13 UTC",33.7160,-116.8365,1.3,16.40,61,"Southern California"
pr,p0931603,1,"Thursday, November 12, 2009 06:48:58 UTC",17.9538,-65.4368,2.6,18.30,11,"Puerto Rico region"
ak,10019969,1,"Thursday, November 12, 2009 06:43:00 UTC",61.2215,-152.1584,3.1,119.80,42,"Southern Alaska"
nc,71313511,0,"Thursday, November 12, 2009 06:05:51 UTC",38.7397,-122.7038,1.7,0.70,11,"Northern California"
pr,p0931602,1,"Thursday, November 12, 2009 05:33:12 UTC",19.1977,-65.8092,3.2,45.50,14,"Puerto Rico region"
nc,71313506,0,"Thursday, November 12, 2009 05:16:00 UTC",35.9273,-120.4800,1.9,4.80,29,"Central California"
nc,71313501,0,"Thursday, November 12, 2009 05:11:24 UTC",36.5115,-121.0948,1.8,5.40,19,"Central California"
ci,10495853,1,"Thursday, November 12, 2009 04:29:10 UTC",33.2476,-116.2810,1.4,10.50,65,"Southern California"
ci,10495845,1,"Thursday, November 12, 2009 04:10:56 UTC",33.4920,-116.7791,1.0,8.80,46,"Southern California"
