Code,Lat,Lon,City,State
ADK,51.88,176.65,Adak,AK
Z60,67.1,157.85,Ambler,AK
ANC,61.17,150.02,Anchorage,AK
MRI,61.22,149.85,Anchorage,AK
AGN,57.83,134.97,Angoon,AK
ANI,61.58,159.53,Aniak,AK
ANN,55.03,131.57,AnnetteIsl,AK
ATU,53.5,173.3,Attu,AK
BRW,71.3,156.78,Barrow,AK
BTI,70.13,143.63,BarterIslan,AK
BET,60.78,161.8,BethelArpt,AK
BTT,66.92,151.52,Bettles,AK
BIG,64,145.73,BigDelta,AK
5BI,60.82,152.3,BigRiverLk,AK
Z68,63.38,148.95,Cantwell,AK
CDE,56,134.22,CapeDecis,AK
5HN,60.38,147.08,CapeHinchi,AK
CSP,58.33,137.05,CapeSpence,AK
5CE,60.33,145,CapeStEli,AK
WCR,67.5,148.48,ChandalarLk,AK
Z00,62.88,149.83,Chulitna,AK
CRC,65.83,144.07,CircleCity,AK
CDB,55.2,162.72,ColdBay,AK
CDV,60.5,145.5,Cordova,AK
CGA,55.8,133.25,Craig,AK
SCC,70.2,148.47,Deadhorse,AK
DLG,59.05,158.52,Dillingham,AK
5SZ,62.73,143.92,DuffysTavern,AK
DUT,53.88,166.53,DutchHarbor,AK
EAA,64.77,141.15,EagleArpt,AK
ERO,59.62,135.37,EldredRock,AK
ELV,58.2,136.35,ElfinCove,AK
FAI,64.82,147.87,Fairbanks,AK
FWL,62.85,154.47,Farewell,AK
FIV,57.45,134.03,FiveFinger,AK
FVM,65.93,149.83,FiveMile,AK
FYU,66.57,145.27,FortYukon,AK
FNR,58.25,134.9,FunterBay,AK
GBH,68.48,149.48,GalbraithLk,AK
GAM,63.77,171.73,Gambell,AK
GKN,62.15,145.45,GulkanaArpt,AK
GST,58.42,135.73,Gustavus,AK
Z26,59.23,135.43,HainesHrbor,AK
5HR,61.98,152.08,HayesRiver,AK
5EA,63.83,149,HealyRiver,AK
HOM,59.63,151.5,Homer,AK
Z49,58.1,135.45,HoonahSeapl,AK
ILI,59.75,154.92,IliamnaArpt,AK
JNU,58.37,134.58,Juneau,AK
KAE,56.97,133.95,KakeSeaplan,AK
ENA,60.57,151.25,Kenai,AK
KTN,55.35,131.7,Ketchikan,AK
AKN,58.68,156.65,KingSalmon,AK
ADQ,57.75,152.5,Kodiak,AK
OTZ,66.87,162.63,Kotzebue,AK
5WO,61.63,149.03,LazyMtn,AK
LNI,70.92,153.23,Lonely,AK
MLY,65,150.65,ManleyHtSp,AK
MXY,61.43,142.92,Mccarthy,AK
MCG,62.97,155.62,Mcgrath,AK
MYU,60.37,166.27,Mekoryuk,AK
MDO,59.43,146.33,MiddletonIs,AK
MHM,63.9,152.27,Minchumina,AK
ENN,64.55,149.08,Nenana,AK
KSM,62.07,163.3,NewAndreafs,AK
IKO,53.58,169.42,Nikolski,AK
OME,64.5,165.43,Nome,AK
ORT,62.97,141.93,Northway,AK
OLI,70.5,149.88,OliktokDew,AK
PAQ,61.6,149.08,Palmer,AK
5PX,63.03,145.5,Paxson,AK
PSG,56.82,132.97,Petersburg,AK
PIZ,69.82,162.92,PointLay,AK
Z76,56.25,134.65,PortAlexndr,AK
KPC,65.25,166.87,PortClarnce,AK
PTH,56.95,158.62,PortHeiden,AK
PPC,66.82,150.65,ProspectCrk,AK
PUO,70.25,148.33,PrudhoeBay,AK
Z30,60.2,154.3,PtAlsworth,AK
PTI,62.17,153.25,Puntilla,AK
SDP,55.33,160.5,SandPoint,AK
5WD,60.18,149.75,Seward,AK
SYA,53.2,174.13,Shemy,AK
SHH,66.27,166.03,Shishmaref,AK
SIT,57.07,135.35,Sitka,AK
SKJ,56.88,154.2,Sitkinak,AK
SGY,59.75,135.53,Skagway,AK
SKW,61.97,151.2,Skwentna,AK
5SO,62.03,146.67,SnowshoeLk,AK
SNP,57.15,170.22,StPaulIs,AK
5GN,61.9,147.3,TahnetaPass,AK
TKA,62.3,150.1,Talkeetna,AK
TAL,65.17,152.1,Tanana,AK
UMT,69.37,152.13,Umiat,AK
UNK,63.88,160.8,Unalakleet,AK
VWS,61.13,146.35,Valdez,AK
VDZ,61.13,146.25,Valdez2,AK
AIN,70.62,159.85,Wainwright,AK
WAA,66.03,168.08,Wales,AK
5WT,60.78,148.72,Whittier,AK
Z22,61.75,150.05,WillowArpt,AK
WRG,56.48,132.37,Wrangell,AK
YAK,59.52,139.67,Yakutat,AK
ANB,33.58,85.85,Anniston,AL
AUO,32.67,85.44,Auburn,AL
BHM,33.57,86.75,Birmingham,AL
CKL,32.9,87.25,Centreville,AL
DHN,31.32,85.45,Dothan,AL
OZR,31.28,85.72,FortRucker,AL
GAD,33.97,86.09,Gadsden,AL
HSV,34.65,86.77,Huntsville,AL
MXF,32.38,86.37,MaxwellAFB,AL
MOB,30.68,88.25,Mobile,AL
BFM,30.63,88.07,MobileAeros,AL
MGM,32.3,86.4,Montgomery,AL
MSL,34.75,87.62,MuscleShoal,AL
SEM,32.34,86.99,Selma,AL
TOI,31.87,86.02,Troy,AL
TCL,33.23,87.62,Tuscaloosa,AL
HRO,36.27,93.15,Harrison,AR
LRF,34.92,92.15,LittleRock,AR
TXK,33.45,94,Texarkana,AR
BYH,35.97,89.95,Blytheville,AR
CDH,33.52,92.4,Camden,AR
ELD,33.22,92.8,ElDorado,AR
FYV,36,94.17,Fayetteville,AR
FSM,35.33,94.37,FtSmith,AR
HOT,34.48,93.1,HotSprings,AR
JBR,35.83,90.65,Jonesboro,AR
LIT,35.22,92.38,LittleRock,AR
LZK,34.83,92.25,LittleRock,AR
PBF,34.17,91.93,PineBluff,AR
ASG,36.18,94.13,Springdale,AR
ARG,36.13,90.93,WalnutRidge,AR
DMA,32.17,110.88,Davis-MAFB,AZ
DVT,33.68,112.08,DeerValley,AZ
DUG,31.45,109.6,Douglas,AZ
FFZ,33.47,111.73,FalconFld,AZ
FLG,35.13,111.67,Flagstaff,AZ
FHU,31.6,110.35,FortHuachuc,AZ
GBN,33.55,113.17,GilaBend,AZ
GYR,33.42,112.38,Goodyear,AZ
GCN,35.95,112.15,GrandCanyon,AZ
IGM,35.27,113.95,Kingman,AZ
LUF,33.53,112.38,Luke,AZ
PGA,36.93,111.45,Page,AZ
0.00E+00,34.23,111.33,Payson,AZ
PHX,33.43,112.02,Phoenix,AZ
PRC,34.65,112.43,Prescott,AZ
E74,32.82,109.68,SaffordAwrs,AZ
SDL,33.62,111.92,Scottsdale,AZ
E03,34.27,110,ShowLow,AZ
SOW,34.27,110,ShowLow,AZ
TUS,32.12,110.93,Tucson,AZ
CHD,33.3,111.67,WilliamsAFB,AZ
INW,35.02,110.73,Winslow,AZ
YUM,33.1,115,Yuma,AZ
NYL,32.65,114.62,YumaMcas,AZ
1Y7,32.85,114.4,YumaPrvGd,AZ
NGZ,37.78,122.32,AlamedaNAS,CA
S11,41.48,120.53,Alturas,CA
ACV,40.98,124.1,Arcata,CA
BFL,35.43,119.05,Bakersfield,CA
BAB,39.13,121.45,BealeAFB,CA
BUO,33.93,116.95,Beaumont,CA
BYS,35.28,116.62,BicycleLk,CA
L35,34.27,116.68,BigBearApt,CA
BIH,37.6,118.6,Bishop,CA
BLU,39.28,120.7,BlueCanyon,CA
BLH,33.62,114.72,Blythe,CA
BUR,34.2,118.37,Burbank,CA
CZZ,32.62,116.47,Campo,CA
NFG,33.3,117.35,CampPendleton,CA
CRQ,33.13,117.28,Carlsbad,CA
MER,37.38,120.57,CastleAFB,CA
CIC,39.78,121.85,Chico,CA
NID,35.68,117.68,ChinaLake,CA
CNO,33.97,117.63,Chino,CA
CCR,37.98,122.05,Concord,CA
CEC,41.78,124.23,CrescentCity,CA
DAG,34.87,116.78,Daggett,CA
EDW,34.9,117.88,EdwardsAFB,CA
NJK,32.82,115.68,ElCentro,CA
EMT,34.08,118.03,ElMonte,CA
NZJ,33.67,117.73,ElToro,CA
EKA,41.33,124.28,Eureka,CA
HGT,36,121.32,FortHunter,CA
OAR,36.68,121.77,FortOrd,CA
FAT,36.77,119.72,Fresno,CA
FUL,33.87,117.97,Fullerton,CA
VCV,34.58,117.38,GeorgeAFB,CA
HHR,33.92,118.33,Hawthorne,CA
HWD,37.65,122.12,Hayward,CA
IPL,32.83,115.57,Imperial,CA
NRS,32.57,117.12,ImperialBeach,CA
TVL,38.9,120,LakeTahoe,CA
WJF,34.73,118.22,Lancaster,CA
